url,title
http://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day
http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,I am a Hero Omnibus Volume 1
http://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,"Layered: Baking, Building, and Styling Spectacular Cakes"
http://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,Crown of Midnight (Throne of Glass #2)
http://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle
http://books.toscrape.com/catalogue/camp-midnight_886/index.html,Camp Midnight
http://books.toscrape.com/catalogue/burning_884/index.html,Burning
http://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,"Codename Baboushka, Volume 1: The Conclave of Death"
http://books.toscrape.com/catalogue/bossypants_883/index.html,Bossypants
http://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))"
http://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,Algorithms to Live By: The Computer Science of Human Decisions
http://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)"
http://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,A World of Flavor: Your Gluten Free Passport
http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,A Murder in Time
http://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations"
http://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,A Fierce and Subtle Poison
